survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,alone
0,3,female,14.492943387385578,5,1,1.7381688336549712,S,First,child,True
1,2,male,33.28968070044672,5,4,1.0181808413193076,C,Third,woman,True
0,3,female,38.805994224395505,5,4,3.7999692082886942,S,Second,woman,False
0,3,male,34.396473811060034,5,2,34.05440764391189,S,First,man,True
0,3,male,19.569674964692354,2,1,24.93636039157888,S,Second,man,True
1,3,male,44.1716471409147,0,0,5.837178133147153,S,Third,child,True
0,3,female,8.613152725497166,4,6,5.281887412430656,S,Second,woman,True
1,2,male,43.00238694729718,8,5,24.87569975453778,S,First,child,False
1,2,female,45.134783217219024,6,5,105.41279413260978,C,First,woman,False
0,3,female,52.012624445493145,1,2,6.658930364675451,S,Third,woman,False
1,2,male,25.2051093364938,5,3,9.897671737573985,S,Third,man,False
0,1,female,16.00797976813871,6,0,4.240381975423356,C,Second,child,False
0,1,male,41.11432507231732,7,2,29.79522456102419,S,Second,woman,True
1,3,female,20.21098609278236,4,3,86.26663348229489,S,Second,woman,False
0,3,female,30.615937160215843,7,0,8.970343605064055,S,First,woman,False
0,1,male,25.555528959758995,6,4,21.102086301762828,S,Second,woman,False
0,2,female,17.370992400216814,8,1,78.59893380689732,S,First,child,False
1,1,male,34.493992526588485,0,3,40.655063019126196,S,Third,woman,True
1,1,male,10.5117771681875,3,1,24.79566591973195,S,Third,child,True
1,3,male,38.29087954301655,6,3,33.65100601133046,S,Second,woman,True
1,1,female,16.462964761605715,8,1,43.3107735710453,C,First,man,True
1,3,male,,5,5,43.0225546273285,Q,Second,woman,True
0,1,male,29.2984955769359,4,6,21.89694967335218,C,Third,man,False
1,3,male,36.04287393935712,8,3,10.908353361628745,S,Third,man,True
0,3,male,38.07708435874514,5,1,7.619427163039029,C,First,woman,False
1,2,male,41.45695223158026,0,5,82.7821667590591,S,Third,woman,True
0,2,male,,1,4,1.9803935052603516,S,First,woman,False
1,3,female,,2,1,13.565990204490584,C,First,man,False
0,2,female,31.49313212304245,7,5,38.65437606691765,C,Third,child,False
0,3,male,51.266045919106034,7,6,30.243289395827702,C,First,woman,True
0,3,female,40.97242291144619,4,3,18.73679239625415,nan,Third,woman,True
1,3,female,56.61876072587357,5,5,3.6324682259054377,Q,Third,woman,True
0,3,female,22.650848079204014,2,5,4.9590506675232815,S,First,man,True
0,3,male,,2,6,39.350818137696166,C,First,woman,True
0,3,male,14.600408694029701,4,1,21.815004084209207,S,Second,man,False
0,3,male,24.339068925264,0,1,13.68955384037832,C,Third,man,False
0,1,male,19.70585994403837,5,2,15.499220006542725,Q,First,woman,False
0,3,female,21.124158769565902,8,6,18.473937056987385,C,First,man,True
1,1,female,24.491712303400714,5,3,37.91806027554728,S,Third,man,False
1,3,male,,1,5,30.315879571941252,Q,Third,man,False
0,1,male,,8,1,2.411975297429417,C,Second,woman,True
0,2,female,,8,6,5.654726123445876,S,Second,child,False
1,1,female,31.95983854341603,4,3,2.4145566798040887,Q,Third,child,True
0,3,female,25.183361196105245,0,2,1.1616834130669909,S,Second,woman,False
1,3,female,22.683900418552746,5,3,49.37232902183676,S,Second,child,True
1,2,male,25.700155917778424,7,3,62.816596377556536,S,Third,woman,False
0,1,male,23.713480019742484,1,6,17.75924204215105,S,Third,child,False
0,2,male,36.87359477254772,6,3,114.46529277227073,C,First,woman,True
0,3,male,42.117352669397675,8,0,65.74084070201883,S,Third,woman,False
0,1,male,47.836623531259185,8,1,64.97260964129555,C,Second,woman,True
0,1,male,18.832161360834156,7,6,15.100014942796388,S,Third,woman,False
0,1,female,36.5712111547425,5,0,101.86075446983749,S,First,man,False
1,3,female,,8,1,45.60675502140035,S,Third,man,True
0,2,male,35.22444605553609,1,1,14.403832494956756,C,Third,woman,False
0,2,male,45.1574119492749,6,2,72.49178474284841,S,Second,child,False
0,3,male,,0,0,0.13598569787259693,Q,First,woman,True
1,2,female,45.016904661624224,5,6,27.97334193966616,S,Second,man,True
0,3,male,14.060049815583326,5,0,24.232864435287443,S,First,child,False
0,3,female,,3,4,2.8158600223327452,S,Second,child,True
0,1,female,28.09866220298839,4,2,65.44191038408754,S,Second,man,False
0,3,male,,6,5,10.919156071032594,C,Second,woman,True
0,1,male,24.155987611212165,5,1,15.581481062746139,S,First,man,True
1,2,female,23.650256587277156,3,1,21.273426142824245,S,Second,woman,False
0,1,female,16.11720298270771,8,4,56.031131372646755,S,First,man,True
0,2,male,,7,1,29.82260203373096,S,Second,woman,True
0,3,male,47.4537319725221,7,0,27.39049115230141,Q,First,woman,False
1,3,male,39.809521527311695,8,5,14.85029642654795,S,First,woman,True
